corpus,layout,routes,term,d,dirs,L,median_q
hs,hand,stored,A1,0.05,32,fit,0.375
hs,hand,stored,A1,0.05,64,fit,0.286
hs,hand,chords,length,0.005,8,fit,0.000
hs,hand,chords,length,0.005,8,median,0.000
hs,hand,chords,length,0.005,8,rsqrt,0.000
hs,hand,chords,length,0.005,16,fit,0.000
hs,hand,chords,length,0.005,16,median,0.000
hs,hand,chords,length,0.005,16,rsqrt,0.000
hs,hand,chords,length,0.005,32,fit,0.000
hs,hand,chords,length,0.005,32,median,0.000
hs,hand,chords,length,0.005,32,rsqrt,0.000
hs,hand,chords,length,0.005,64,fit,0.000
hs,hand,chords,length,0.005,64,median,0.000
hs,hand,chords,length,0.005,64,rsqrt,0.000
hs,hand,chords,length,0.01,8,fit,0.000
hs,hand,chords,length,0.01,8,median,0.027
hs,hand,chords,length,0.01,8,rsqrt,0.000
hs,hand,chords,length,0.01,16,fit,0.000
hs,hand,chords,length,0.01,16,median,0.026
hs,hand,chords,length,0.01,16,rsqrt,0.000
hs,hand,chords,length,0.01,32,fit,0.000
hs,hand,chords,length,0.01,32,median,0.000
hs,hand,chords,length,0.01,32,rsqrt,0.000
hs,hand,chords,length,0.01,64,fit,0.000
hs,hand,chords,length,0.01,64,median,0.000
hs,hand,chords,length,0.01,64,rsqrt,0.000
hs,hand,chords,length,0.02,8,fit,0.000
hs,hand,chords,length,0.02,8,median,0.037
hs,hand,chords,length,0.02,8,rsqrt,0.000
hs,hand,chords,length,0.02,16,fit,0.000
hs,hand,chords,length,0.02,16,median,0.032
hs,hand,chords,length,0.02,16,rsqrt,0.000
hs,hand,chords,length,0.02,32,fit,0.000
hs,hand,chords,length,0.02,32,median,0.031
hs,hand,chords,length,0.02,32,rsqrt,0.000
hs,hand,chords,length,0.02,64,fit,0.000
hs,hand,chords,length,0.02,64,median,0.029
hs,hand,chords,length,0.02,64,rsqrt,0.000
hs,hand,chords,length,0.05,8,fit,0.000
hs,hand,chords,length,0.05,8,median,0.075
hs,hand,chords,length,0.05,8,rsqrt,0.000
hs,hand,chords,length,0.05,16,fit,0.000
hs,hand,chords,length,0.05,16,median,0.059
hs,hand,chords,length,0.05,16,rsqrt,0.000
hs,hand,chords,length,0.05,32,fit,0.000
hs,hand,chords,length,0.05,32,median,0.053
hs,hand,chords,length,0.05,32,rsqrt,0.000
hs,hand,chords,length,0.05,64,fit,0.000
hs,hand,chords,length,0.05,64,median,0.050
hs,hand,chords,length,0.05,64,rsqrt,0.000
hs,hand,chords,stress,0.005,8,fit,0.000
hs,hand,chords,stress,0.005,8,median,0.000
hs,hand,chords,stress,0.005,8,rsqrt,0.000
hs,hand,chords,stress,0.005,16,fit,0.000
hs,hand,chords,stress,0.005,16,median,0.000
hs,hand,chords,stress,0.005,16,rsqrt,0.000
hs,hand,chords,stress,0.005,32,fit,0.000
hs,hand,chords,stress,0.005,32,median,0.000
hs,hand,chords,stress,0.005,32,rsqrt,0.000
hs,hand,chords,stress,0.005,64,fit,0.000
hs,hand,chords,stress,0.005,64,median,0.000
hs,hand,chords,stress,0.005,64,rsqrt,0.000
hs,hand,chords,stress,0.01,8,fit,0.000
hs,hand,chords,stress,0.01,8,median,0.000
hs,hand,chords,stress,0.01,8,rsqrt,0.000
hs,hand,chords,stress,0.01,16,fit,0.000
hs,hand,chords,stress,0.01,16,median,0.000
hs,hand,chords,stress,0.01,16,rsqrt,0.000
hs,hand,chords,stress,0.01,32,fit,0.000
hs,hand,chords,stress,0.01,32,median,0.000
hs,hand,chords,stress,0.01,32,rsqrt,0.000
hs,hand,chords,stress,0.01,64,fit,0.000
hs,hand,chords,stress,0.01,64,median,0.000
hs,hand,chords,stress,0.01,64,rsqrt,0.000
hs,hand,chords,stress,0.02,8,fit,0.000
hs,hand,chords,stress,0.02,8,median,0.000
hs,hand,chords,stress,0.02,8,rsqrt,0.000
hs,hand,chords,stress,0.02,16,fit,0.000
hs,hand,chords,stress,0.02,16,median,0.000
hs,hand,chords,stress,0.02,16,rsqrt,0.000
hs,hand,chords,stress,0.02,32,fit,0.000
hs,hand,chords,stress,0.02,32,median,0.000
hs,hand,chords,stress,0.02,32,rsqrt,0.000
hs,hand,chords,stress,0.02,64,fit,0.000
hs,hand,chords,stress,0.02,64,median,0.000
hs,hand,chords,stress,0.02,64,rsqrt,0.000
hs,hand,chords,stress,0.05,8,fit,0.000
hs,hand,chords,stress,0.05,8,median,0.000
